"";"X";"Q1";"Q3";"Q3_graph";"Q5";"Q5_graph";"Q8_graph";"Q8";"Q10";"Q12";"Q14";"Q16";"Q18";"Q20";"court";"imam";"elders";"killed";"wounded";"damaged";"displaced";"edu";"income";"female";"age";"unemployed";"urban_com";"com_exposure";"russ_pop";"lmaltitude";"ldistance_Grozny";"lcom_size";"rayon";"location";"V1RL";"V2RL";"V3RL";"V4RL";"V5RL";"V6RL";"V7RL";"V8RL";"V9RL";"V10RL";"V1S";"V2S";"V3S";"V4S";"V5S";"V6S";"V7S";"V8S";"V9S";"V10S";"V1A";"V2A";"V3A";"V4A";"V5A";"V6A";"V7A";"V8A";"V9A";"V10A";"indexRL";"indexS";"indexA";"age_cohorts";"edufull";"incomefull"
"1";1;2;1;1;2;2;2;2;2;2;1;4;2;2;0;0;0;1;1;2;0;6;4;1;28;0;0;0;0;5,32300997913841;3,85014760171006;8,81120518756289;"urus-martan";"martan-chu";0;1;0;0;0;0;1;0;0;0;1;0;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0,2;0,7;0;"youth";6;4
"2";2;3;5;4;5;4;4;5;3;3;1;4;4;4;0;0;0;1;1;2;0;6;3;0;29;0;0;1;0;5,45958551414416;3,58351893845611;9,40910926014874;"urus-martan";"Samashki";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0,1;0;0,3;"youth";6;3
"3";3;2;1;1;2;2;1;1;2;1;1;1;2;1;0;0;0;1;1;2;0;2;5;0;23;1;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;1;0;1;0;1;1;1;0;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0,6;0,4;0;"youth";2;5
"4";4;1;1;1;3;3;1;1;2;1;1;4;3;1;0;0;0;1;1;0;0;3;NA;1;49;1;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";1;1;0;1;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0,6;0,1;0,2;"midage";3;3,50331663568208
"5";5;2;1;1;2;2;1;1;2;1;2;1;3;1;0;0;0;1;0;1;0;5;3;0;25;1;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;1;0;1;0;1;0;1;0;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0,5;0,4;0,1;"youth";5;3
"6";6;2;1;1;5;4;4;5;2;2;4;4;4;4;0;0;0;1;1;2;0;6;5;0;44;1;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,3;0;"midage";6;5
"7";7;1;1;1;3;3;2;2;2;3;1;3;3;3;1;0;1;1;1;2;0;5;4;1;19;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";1;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0,3;0,2;0,5;"youth";5;4
"8";8;1;1;1;3;3;2;2;2;1;1;3;4;4;0;0;0;1;1;2;0;3;2;1;28;1;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";1;1;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0,4;0,2;0,2;"youth";3;2
"9";9;3;1;1;3;3;2;2;3;2;1;1;1;1;1;0;0;1;1;2;0;3;4;1;47;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;1;0;0;0;0;1;1;1;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0,5;0,2;0,3;"midage";3;4
"10";10;2;1;1;1;1;2;2;2;2;1;2;1;1;1;0;0;1;0;2;0;6;2;0;31;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;1;1;0;0;0;1;0;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0,5;0;"midage";6;2
"11";11;1;2;2;3;3;4;5;2;3;1;3;1;4;0;0;0;1;1;2;1;6;2;0;32;1;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";1;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0,3;0,2;0,3;"midage";6;2
"12";12;2;2;2;3;3;2;2;3;3;4;1;3;1;1;0;1;1;1;2;0;6;4;0;53;1;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0,2;0,3;0,4;"older";6;4
"13";13;4;2;2;2;2;2;2;4;4;1;4;1;1;0;0;0;1;1;0;0;4;5;0;35;1;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;0;0;0;0;0;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0,3;0;"midage";4;5
"14";14;3;2;2;1;1;1;1;3;2;1;1;1;2;1;0;0;1;1;1;1;6;3;0;23;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;0;1;1;0;0;1;1;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0,5;0,3;0,2;"youth";6;3
