"";"uchastok";"delo";"data";"categ";"sudya";"istez_nchar";"istez_females";"year";"com_exposure";"urban";"mountainous";"russ_pop";"pop_fem_share";"family";"labor";"property"
"1";52;"02-0229/52/2016";"13-05-2016";"О взыскании алиментов на содержание несовершеннолетних детей";"Арземеева З.С.";28;1;2016;0;0;0;1;0,503697617091208;1;0;0
"2";44;"02-0345/44/2015";"27-11-2015";"О взыскании алиментов на содержание несовершеннолетних детей";"Мирзакаев А.М.";28;1;2015;0;0;0;0;0,5132131550042;1;0;0
"3";31;"02-0214/31/2013";"04-03-2013";"Трудовые споры (независимо от форм собственност работодателя) об оплате труда в иных случаях";"Аржиев А.А.";28;1;2013;1;1;0;0;0,49161566194349;0;1;0
"4";31;"02-0150/31/2013";"28-02-2013";"Трудовые споры (независимо от форм собственност работодателя) об оплате труда в иных случаях";"Аржиев А.А.";27;1;2013;1;1;0;0;0,49161566194349;0;1;0
"5";31;"02-0190/31/2013";"28-02-2013";"Трудовые споры (независимо от форм собственност работодателя) об оплате труда в иных случаях";"Аржиев А.А.";27;1;2013;1;1;0;0;0,49161566194349;0;1;0
"6";31;"02-0241/31/2013";"04-03-2013";"Трудовые споры (независимо от форм собственност работодателя) об оплате труда в иных случаях";"Аржиев А.А.";26;1;2013;1;1;0;0;0,49161566194349;0;1;0
"7";31;"02-0151/31/2013";"28-02-2013";"Трудовые споры (независимо от форм собственност работодателя) об оплате труда в иных случаях";"Аржиев А.А.";25;1;2013;1;1;0;0;0,49161566194349;0;1;0
"8";1;"02-0166/1/2012";"07-03-2012";"О расторжении брака супругов имеющих детей";"Мальсагов Р.Х.";25;1;2012;1;1;0;0;0,508304710500491;1;0;0
"9";12;"02-0006/12/2016";"08-02-2016";"О расторжении брака супругов имеющих детей";"Садулаева М.А.";22;1;2016;1;1;0;0;0,476102776030905;1;0;0
"10";10;"02-0040/10/2014";"11-03-2014";"О расторжении брака супругов - бездетных или имеющих взрослых детей";"Межидов Л.С.";21;1;2014;1;1;0;0;0,476102776030905;1;0;0
"11";60;"02-0072/58/2010";"06-09-2010";"О расторжении брака супругов имеющих детей";"Хаваев И.А.";20;0;2010;0;0;1;0;0,490067369148385;1;0;0
"12";60;"Рассмотрение";"08.06.2010";"О расторжении брака супругов имеющих детей";"Хаваев И.А.";20;0;2010;0;0;1;0;0,490067369148385;1;0;0
"13";60;"Подготовка к рассмотрению";"02.07.2010";"О расторжении брака супругов имеющих детей";"Хаваев И.А.";20;0;2010;0;0;1;0;0,490067369148385;1;0;0
"14";60;"Зарегистрировано";"09.08.2010";"О расторжении брака супругов имеющих детей";"Хаваев И.А.";20;0;2010;0;0;1;0;0,490067369148385;1;0;0
"15";60;"Состояние";"Дата";"О расторжении брака супругов имеющих детей";"Хаваев И.А.";20;0;NA;0;0;1;0;0,490067369148385;1;0;0
"16";10;"02-0143/10/2013";"18-04-2013";"О расторжении брака супругов имеющих детей";"Межидов Л.С.";20;1;2013;1;1;0;0;0,476102776030905;1;0;0
"17";64;"Рассмотрение";"09.03.2011";"Иски о взыскании детских пособий (если гражданами оспаривается право на выплату пособия или его размер)";"Шамаев А.А.";19;1;2011;1;0;1;0;0,419105400904116;1;0;0
"18";64;"Вступило в силу";"08.04.2011";"Иски о взыскании детских пособий (если гражданами оспаривается право на выплату пособия или его размер)";"Шамаев А.А.";19;1;2011;1;0;1;0;0,419105400904116;1;0;0
"19";64;"Состояние";"Дата";"Иски о взыскании детских пособий (если гражданами оспаривается право на выплату пособия или его размер)";"Шамаев А.А.";19;1;NA;1;0;1;0;0,419105400904116;1;0;0
"20";64;"Рассмотрение";"09.03.2011";"Иски о взыскании детских пособий (если гражданами оспаривается право на выплату пособия или его размер)";"Шамаев А.А.";19;1;2011;1;0;1;0;0,419105400904116;1;0;0
"21";64;"02-0152/64/2011";"09-03-2011";"Иски о взыскании детских пособий (если гражданами оспаривается право на выплату пособия или его размер)";"Шамаев А.А.";19;1;2011;1;0;1;0;0,419105400904116;1;0;0
"22";64;"Завершено";"24.03.2011";"Иски о взыскании детских пособий (если гражданами оспаривается право на выплату пособия или его размер)";"Шамаев А.А.";19;1;2011;1;0;1;0;0,419105400904116;1;0;0
"23";62;"02-0152/62/2011";"14-03-2011";"Трудовые споры (независимо от форм собственност работодателя) об оплате труда в иных случаях";"Мамалов М.Э.";19;0;2011;1;0;1;0;0,486101283735975;0;1;0
